1    FILEEND
2    ASSIGNOP
3    RELOP
4    ID
5    CONTROL
6    ADDOP
7    MULOP
8    WS
9    ARRAY
10   TYPE
11   VAR
12   NUM
13   PUNC
14   GROUP
15   INVERSE
16   LEXERR
17   SYNERR
18   SEMERR
      Line              Lexeme     Token Attribute          Token Type
         1             program                   5                   7
         1                 fib                   4      0x7ff69f5003d0
         1                   (                  14                   0
         1               input                   4      0x7ff69f5006e0
         1                   ;                  13                   1
         1                   ;                  17                   0
         1              output                   4      0x7ff69f500b60
         1                   )                  14                   1
         1                   :                  10                   0
         1                   :                  17                   0
         2                 var                  11                   0
         2                   a                   4      0x7ff69f501300
         2                   :                  10                   0
         2                 int                   4      0x7ff69f5015f0
         2                 int                  17                   0
         2                   ;                  13                   1
         2                 var                  11                   0
         2                   p                   4      0x7ff69f501b80
         2                   :                  10                   0
         2             integer                  10                   1
         2             integer                  17                   0
         2                   ;                  13                   1
         2                   ;                  17                   0
         3                 var                  11                   0
         3           numsArray                   4      0x7ff69f5027b0
         3                   :                  10                   0
         3               array                   9                   0
         3                   [                  14                   2
         3                   6                  12                   0
         3                  ..                   9                   1
         3                  12                  12                   0
         3                   ]                  14                   3
         3                  on                   4      0x7ff69f503410
         3             integer                  10                   1
         3                   ;                  13                   1
         4                 var                  11                   0
         4                   q                   4      0x7ff69f503c00
         4                   :                  10                   0
         4                real                  10                   2
         4                   ;                  13                   1
         6           procedure                   5                   6
         6                fib1                   4      0x7ff69f504640
         6                   (                  14                   0
         6               anInt                   4      0x7ff69f504930
         6                   :                  10                   0
         6             integer                  10                   1
         6                   ;                  13                   1
         6                   b                   4      0x7ff69f504ff0
         6                   :                  10                   0
         6                real                  10                   2
         6                   ,                  13                   0
         6                   ,                  17                   0
         6                   c                   4      0x7ff69f505750
         6                   :                  10                   0
         6                real                  10                   2
         6                   )                  14                   1
         6                   ;                  13                   1
         7               begin                   5                   0
         8                  if                   5                   5
         8                   a                   4      0x7ff69f501300
         8                  <=                   3                   1
         8                   1                  12                   0
         8                then                   5                   8
         8                 fib                   4      0x7ff69f5003d0
         8                  :=                   2                   0
         8                   c                   4      0x7ff69f505750
         9                else                   5                   2
         9                call                   5                  10
         9                 fib                   4      0x7ff69f5003d0
         9                   (                  14                   0
         9                   a                   4      0x7ff69f501300
         9                   -                   6                   1
         9                   1                  12                   0
         9                   ,                  13                   0
         9                   c                   4      0x7ff69f505750
         9                   ,                  13                   0
         9                   b                   4      0x7ff69f504ff0
         9                   +                   6                   0
         9                   c                   4      0x7ff69f505750
         9                   )                  14                   1
        10                 end                   5                   3
        10                   ;                  13                   1
        12           procedure                   5                   6
        12                fib2                   4      0x7ff69f6037f0
        12                   (                  14                   0
        12                   a                   4      0x7ff69f501300
        12                   :                  10                   0
        12             integer                  10                   1
        12                   )                  14                   1
        12                   ;                  13                   1
        13                 var                  11                   0
        13                   b                   4      0x7ff69f504ff0
        13                   :                  10                   0
        13                real                  10                   2
        13                   ;                  13                   1
        13                 var                  11                   0
        13                   c                   4      0x7ff69f505750
        13                   :                  10                   0
        13                real                  10                   2
        13                   ;                  13                   1
        13                 var                  11                   0
        13                 sum                   4      0x7ff69f605670
        13                   :                  10                   0
        13                   ;                  13                   1
        13                   ;                  17                   0
        14                 var                  11                   0
        14                   b                   4      0x7ff69f504ff0
        14                   :                  10                   0
        14                real                  10                   2
        14                real                  17                   0
        14                   ;                  13                   1
        14                   ;                  17                   0
        15           procedure                   5                   6
        15               rawr3                   4      0x7ff69f5076b0
        15                   (                  14                   0
        15                   b                   4      0x7ff69f504ff0
        15                   :                  10                   0
        15                real                  10                   2
        15                   )                  14                   1
        15                   ;                  13                   1
        16                 var                  11                   0
        16                   q                   4      0x7ff69f503c00
        16                   :                  10                   0
        16                real                  10                   2
        16                   ;                  13                   1
        17               begin                   5                   0
        18                   q                   4      0x7ff69f503c00
        18                  :=                   2                   0
        18                   b                   4      0x7ff69f504ff0
        18                   +                   6                   0
        18                 2.0                  12                   1
        18                   ;                  13                   1
        19                call                   5                  10
        19                fib2                   4      0x7ff69f6037f0
        19                   (                  14                   0
        19                   q                   4      0x7ff69f503c00
        19                   )                  14                   1
        19                   .                  13                   2
        19                   .                  17                   0
        20                 end                   5                   3
        20                   ;                  13                   1
        22               begin                   5                   0
        23                   a                   4      0x7ff69f501300
        23                  :=                   2                   0
        23                   a                   4      0x7ff69f501300
        23                   -                   6                   1
        23                   1                  12                   0
        23                   ;                  13                   1
        24                fib1                   4      0x7ff69f504640
        24                   (                  14                   0
        24                   (                  17                   0
        24                   3                  12                   0
        24                   )                  14                   1
        24                   ;                  13                   1
        25                 sum                   4      0x7ff69f605670
        25                  :=                   2                   0
        25                   1                  12                   0
        25                   ;                  13                   1
        26                   c                   4      0x7ff69f505750
        26                  :=                   2                   0
