1    FILEEND
2    ASSIGNOP
3    RELOP
4    ID
5    CONTROL
6    ADDOP
7    MULOP
8    WS
9    ARRAY
10   TYPE
11   VAR
12   NUM
13   PUNC
14   GROUP
15   INVERSE
16   LEXERR
17   SYNERR
18   SEMERR
      Line              Lexeme     Token Attribute          Token Type
         1             program                   5                   7
         1                 fib                   4      0x7fc0d1c03860
         1                   (                  14                   0
         1               input                   4      0x7fc0d1c03b70
         1                   ,                  13                   0
         1              output                   4      0x7fc0d1c03ef0
         1                   )                  14                   1
         1                   ;                  13                   1
         2                 var                  11                   0
         2                   a                   4      0x7fc0d1c045c0
         2                   :                  10                   0
         2             integer                  10                   1
         2                   ;                  13                   1
         2                 var                  11                   0
         2                   p                   4      0x7fc0d1c04dc0
         2                   :                  10                   0
         2             integer                  10                   1
         2                   ;                  13                   1
         3                 var                  11                   0
         3           numsArray                   4      0x7fc0d1c057e0
         3                   :                  10                   0
         3               array                   9                   0
         3                   [                  14                   2
         3                   6                  12                   0
         3                  ..                   9                   1
         3                  12                  12                   0
         3                   ]                  14                   3
         3                  of                   9                   2
         3             integer                  10                   1
         3                   ;                  13                   1
         4                 var                  11                   0
         4                   q                   4      0x7fc0d1c06c40
         4                   :                  10                   0
         4                real                  10                   2
         4                   ;                  13                   1
         6           procedure                   5                   6
         6                fib1                   4      0x7fc0d1c076b0
         6                   (                  14                   0
         6          aLongInt89                   4      0x7fc0d1c07a40
         6                   :                  10                   0
         6             integer                  10                   1
         6                   ;                  13                   1
         6                   b                   4      0x7fc0d1c08100
         6                   :                  10                   0
         6                real                  10                   2
         6                   ;                  13                   1
         6                   c                   4      0x7fc0d1c08760
         6                   :                  10                   0
         6                real                  10                   2
         6                   )                  14                   1
         6                   ;                  13                   1
         7               begin                   5                   0
         8                  if                   5                   5
         8                   a                   4      0x7fc0d1c045c0
         8                  <=                   3                   1
         8                   1                  12                   0
         8                then                   5                   8
         8                   b                   4      0x7fc0d1c08100
         8                  :=                   2                   0
         8                   c                   4      0x7fc0d1c08760
         9                else                   5                   2
         9                call                   5                  10
         9                fib1                   4      0x7fc0d1c076b0
         9                   (                  14                   0
         9                   a                   4      0x7fc0d1c045c0
         9                   -                   6                   1
         9                   1                  12                   0
         9                   ,                  13                   0
         9                   c                   4      0x7fc0d1c08760
         9                   ,                  13                   0
         9                   b                   4      0x7fc0d1c08100
         9                   +                   6                   0
         9                   c                   4      0x7fc0d1c08760
         9                   )                  14                   1
        10                 end                   5                   3
        10                   ;                  13                   1
        12           procedure                   5                   6
        12                fib2                   4      0x7fc0d1c0c840
        12                   (                  14                   0
        12                   a                   4      0x7fc0d1c045c0
        12                   :                  10                   0
        12             integer                  10                   1
        12                   )                  14                   1
        12                   ;                  13                   1
        13                 var                  11                   0
        13                   b                   4      0x7fc0d1c08100
        13                   :                  10                   0
        13                real                  10                   2
        13                   ;                  13                   1
        13                 var                  11                   0
        13                   c                   4      0x7fc0d1c08760
        13                   :                  10                   0
        13                real                  10                   2
        13                   ;                  13                   1
        13                 var                  11                   0
        13                 sum                   4      0x7fc0d1c0e6c0
        13                   :                  10                   0
        13             integer                  10                   1
        13                   ;                  13                   1
        14           procedure                   5                   6
        14               rawr3                   4      0x7fc0d1c0f2d0
        14                   (                  14                   0
        14                   b                   4      0x7fc0d1c08100
        14                   :                  10                   0
        14             integer                  10                   1
        14                   )                  14                   1
        14                   ;                  13                   1
        15                 var                  11                   0
        15                   q                   4      0x7fc0d1c06c40
        15                   :                  10                   0
        15             integer                  10                   1
        15                   ;                  13                   1
        16               begin                   5                   0
        17                   q                   4      0x7fc0d1c06c40
        17                  :=                   2                   0
        17                   b                   4      0x7fc0d1c08100
        17                   +                   6                   0
        17                  14                  12                   0
        17                   ;                  13                   1
        18                call                   5                  10
        18                fib2                   4      0x7fc0d1c0c840
        18                   (                  14                   0
        18                   b                   4      0x7fc0d1c08100
        18                   *                   7                   0
        18                  22                  12                   0
        18                   +                   6                   0
        18                  47                  12                   0
        18                   )                  14                   1
        19                 end                   5                   3
        19                   ;                  13                   1
        21               begin                   5                   0
        22                   a                   4      0x7fc0d1c045c0
        22                  :=                   2                   0
        22                   a                   4      0x7fc0d1c045c0
        22                   -                   6                   1
        22                   1                  12                   0
        22                   ;                  13                   1
        23                   b                   4      0x7fc0d1c08100
        23                  :=                   2                   0
        23                 0.5                  12                   1
        23                   ;                  13                   1
        24                 sum                   4      0x7fc0d1c0e6c0
        24                  :=                   2                   0
        24                   1                  12                   0
        24                   ;                  13                   1
        25                   c                   4      0x7fc0d1c08760
        25                  :=                   2                   0
        25                   b                   4      0x7fc0d1c08100
        25                   ;                  13                   1
        26               while                   5                   9
        26                   (                  14                   0
        26                   a                   4      0x7fc0d1c045c0
        26                   >                   3                   3
        26                   0                  12                   0
        26                   )                  14                   1
        26                  do                   5                   1
        27               begin                   5                   0
        28                   a                   4      0x7fc0d1c045c0
        28                  :=                   2                   0
        28                   a                   4      0x7fc0d1c045c0
        28                   -                   6                   1
        28                   1                  12                   0
        28                   ;                  13                   1
        29                   b                   4      0x7fc0d1c08100
        29                  :=                   2                   0
        29                 3.5                  12                   1
        29                   /                   7                   1
        29                 4.4                  12                   1
        29                   ;                  13                   1
        30                 sum                   4      0x7fc0d1c0e6c0
        30                  :=                   2                   0
        30                  15                  12                   0
        30                   +                   6                   0
        30                  19                  12                   0
        30                   *                   7                   0
        30                  37                  12                   0
        30                   ;                  13                   1
        31                   c                   4      0x7fc0d1c08760
        31                  :=                   2                   0
        31                   b                   4      0x7fc0d1c08100
        32                 end                   5                   3
        32                   ;                  13                   1
        33           numsArray                   4      0x7fc0d1c057e0
        33                   [                  14                   2
        33                   9                  12                   0
        33                   ]                  14                   3
        33                  :=                   2                   0
        33                 sum                   4      0x7fc0d1c0e6c0
        34                 end                   5                   3
        34                   ;                  13                   1
        36           procedure                   5                   6
        36                init                   4      0x7fc0d1c1cf80
        36                   ;                  13                   1
        37               begin                   5                   0
        38                   p                   4      0x7fc0d1c04dc0
        38                  :=                   2                   0
        38                  12                  12                   0
        38                   ;                  13                   1
        39                  if                   5                   5
        39                   (                  14                   0
        39                   1                  12                   0
        39                   >                   3                   3
        39                   2                  12                   0
        39                   )                  14                   1
        39                  or                   6                   2
        39                   (                  14                   0
        39                   3                  12                   0
        39                   <                   3                   0
        39                   4                  12                   0
        39                   )                  14                   1
        39                then                   5                   8
        39                   p                   4      0x7fc0d1c04dc0
        39                  :=                   2                   0
        39                  12                  12                   0
        40                else                   5                   2
        40                   p                   4      0x7fc0d1c04dc0
        40                  :=                   2                   0
        40                  14                  12                   0
        40                   ;                  13                   1
        41           numsArray                   4      0x7fc0d1c057e0
        41                   [                  14                   2
        41                   6                  12                   0
        41                   ]                  14                   3
        41                  :=                   2                   0
        41                  15                  12                   0
        41                 div                   7                   3
        41                  56                  12                   0
        41                   ;                  13                   1
        42                   p                   4      0x7fc0d1c04dc0
        42                  :=                   2                   0
        42                   2                  12                   0
        42                   *                   7                   0
        42                   p                   4      0x7fc0d1c04dc0
        42                   +                   6                   0
        42           numsArray                   4      0x7fc0d1c057e0
        42                   [                  14                   2
        42                   4                  12                   0
        42                   ]                  14                   3
        42                 mod                   7                   4
        42                  16                  12                   0
        42                   ;                  13                   1
        43                   q                   4      0x7fc0d1c06c40
        43                  :=                   2                   0
        43               12.37                  12                   1
        44                 end                   5                   3
        44                   ;                  13                   1
        46               begin                   5                   0
        47                call                   5                  10
        47                init                   4      0x7fc0d1c1cf80
        47                   ;                  13                   1
        48                call                   5                  10
        48                fib2                   4      0x7fc0d1c0c840
        48                   (                  14                   0
        48                  15                  12                   0
        48                   )                  14                   1
        49                 end                   5                   3
        49                   .                  13                   2
        50                 EOF                   1                   0
