1    FILEEND
2    ASSIGNOP
3    RELOP
4    ID
5    CONTROL
6    ADDOP
7    MULOP
8    WS
9    ARRAY
10   TYPE
11   VAR
12   NUM
13   PUNC
14   GROUP
15   INVERSE
16   LEXERR
17   SYNERR
18   SEMERR
      Line              Lexeme     Token Attribute          Token Type
         1             program                   5                   7
         1                 fib                   4      0x7fba52500fd0
         1                   (                  14                   0
         1               input                   4      0x7fba525012e0
         1                   ,                  13                   0
         1              output                   4      0x7fba52501660
         1                   )                  14                   1
         1                   ;                  13                   1
         2                 var                  11                   0
         2                   a                   4      0x7fba52501d30
         2                   :                  10                   0
         2             integer                  10                   1
         2                   ;                  13                   1
         2                 var                  11                   0
         2                   p                   4      0x7fba52502530
         2                   :                  10                   0
         2             integer                  10                   1
         2                   ;                  13                   1
         3                 var                  11                   0
         3           numsArray                   4      0x7fba52502f50
         3                   :                  10                   0
         3               array                   9                   0
         3                   [                  14                   2
         3                   6                  12                   0
         3                  ..                   9                   1
         3                  12                  12                   0
         3                   ]                  14                   3
         3                  of                   9                   2
         3             integer                  10                   1
         3                   ;                  13                   1
         4                 var                  11                   0
         4                   q                   4      0x7fba525043b0
         4                   :                  10                   0
         4                real                  10                   2
         4                   ;                  13                   1
         6           procedure                   5                   6
         6                fib1                   4      0x7fba52504e20
         6                   (                  14                   0
         6            aLongInt                   4      0x7fba52505170
         6                   :                  10                   0
         6             integer                  10                   1
         6                   ;                  13                   1
         6                   b                   4      0x7fba52505830
         6                   :                  10                   0
         6                real                  10                   2
         6                   ;                  13                   1
         7                   c                   4      0x7fba52506790
         7                   :                  10                   0
         7             integer                  10                   1
         7                   ;                  13                   1
         7                   d                   4      0x7fba52506e50
         7                   :                  10                   0
         7             integer                  10                   1
         7                   )                  14                   1
         7                   ;                  13                   1
         8               begin                   5                   0
         9                  if                   5                   5
         9                   a                   4      0x7fba52501d30
         9                  <=                   3                   1
         9                   1                  12                   0
         9                then                   5                   8
         9                 fib                   4      0x7fba52500fd0
         9                  :=                   2                   0
         9                   c                   4      0x7fba52506790
         9                                      18                   0
        10                else                   5                   2
        10                call                   5                  10
        10                 fib                   4      0x7fba52500fd0
        10                   (                  14                   0
        10                                      18                   0
        10                   a                   4      0x7fba52501d30
        10                   -                   6                   1
        10                   1                  12                   0
        10                   ,                  13                   0
        10                   c                   4      0x7fba52506790
        10                   ,                  13                   0
        10                   b                   4      0x7fba52505830
        10                   +                   6                   0
        10                   c                   4      0x7fba52506790
        10                   )                  14                   1
        10                                      18                   0
        11                 end                   5                   3
        11                   ;                  13                   1
        13           procedure                   5                   6
        13                fib2                   4      0x7fba5250b340
        13                   (                  14                   0
        13                   a                   4      0x7fba52501d30
        13                   :                  10                   0
        13             integer                  10                   1
        13                   )                  14                   1
        13                   ;                  13                   1
        14                 var                  11                   0
        14                   b                   4      0x7fba52505830
        14                   :                  10                   0
        14                real                  10                   2
        14                   ;                  13                   1
        14                 var                  11                   0
        14                   c                   4      0x7fba52506790
        14                   :                  10                   0
        14                real                  10                   2
        14                   ;                  13                   1
        14                 var                  11                   0
        14                 sum                   4      0x7fba5250d1c0
        14                   :                  10                   0
        14             integer                  10                   1
        14                   ;                  13                   1
        15                 var                  11                   0
        15                   b                   4      0x7fba52505830
        15                   :                  10                   0
        15                real                  10                   2
        15                   ;                  13                   1
        15                                      18                   0
